station1	station2	line	StationId1	StationId2	LineId
11	163	1	155883	156016	156184
246	281	1	156089	156121	156184
193	278	1	156041	156119	156184
192	212	1	156040	156059	156184
192	197	1	156040	156045	156184
185	281	1	156035	156121	156184
185	237	1	156035	156080	156184
159	278	1	156012	156119	156184
148	279	1	156003	156120	156184
143	206	1	155998	156053	156184
143	159	1	155998	156012	156184
140	237	1	155995	156080	156184
137	298	1	155992	156138	156184
137	206	1	155992	156053	156184
114	140	1	155970	155995	156184
113	298	1	155969	156138	156184
113	246	1	155969	156089	156184
87	279	1	155945	156120	156184
84	148	1	155943	156003	156184
82	193	1	155941	156041	156184
82	163	1	155941	156016	156184
49	197	1	155915	156045	156184
49	87	1	155915	155945	156184
11	212	1	155883	156059	156184
13	156	2	155885	156010	156188
13	250	2	155885	156093	156188
16	91	2	155888	155948	156188
16	173	2	155888	156026	156188
24	156	2	155895	156010	156188
24	164	2	155895	156017	156188
28	162	2	155899	156015	156188
28	192	2	155899	156040	156188
241	301	2	156084	156141	156188
230	241	2	156075	156084	156188
226	296	2	156071	156136	156188
221	294	2	156153	156134	156188
221	239	2	156153	156082	156188
215	301	2	156061	156141	156188
211	275	2	156058	156116	156188
192	259	2	156040	156101	156188
186	208	2	156036	156055	156188
181	286	2	156032	156126	156188
177	239	2	156028	156082	156188
164	247	2	156017	156090	156188
154	275	2	156008	156116	156188
154	230	2	156008	156075	156188
153	247	2	156007	156090	156188
153	154	2	156007	156008	156188
149	208	2	156004	156055	156188
149	162	2	156004	156015	156188
127	226	2	155982	156071	156188
127	186	2	155982	156036	156188
126	259	2	155981	156101	156188
112	196	2	155968	156044	156188
112	181	2	155968	156032	156188
105	196	2	155962	156044	156188
105	177	2	155962	156028	156188
103	109	2	155960	155965	156188
98	211	2	155955	156058	156188
98	173	2	155955	156026	156188
91	109	2	155948	155965	156188
88	256	2	156159	156160	156188
76	296	2	155935	156136	156188
76	181	2	155935	156032	156188
72	286	2	155931	156126	156188
68	256	2	156161	156160	156188
68	158	2	156161	156162	156188
51	215	2	155916	156061	156188
51	103	2	155916	155960	156188
48	250	2	155914	156093	156188
48	126	2	155914	155981	156188
37	301	2	156163	156141	156188
37	158	2	156163	156162	156188
2	156	3	155875	156010	156189
2	263	3	155875	156104	156189
11	83	3	155883	155942	156189
11	104	3	155883	155961	156189
14	92	3	155886	155949	156189
14	167	3	155886	156020	156189
18	186	3	155890	156036	156189
18	193	3	155890	156041	156189
25	161	3	155896	156014	156189
25	255	3	155896	156098	156189
248	285	3	156091	156125	156189
248	273	3	156091	156114	156189
229	273	3	156074	156114	156189
229	236	3	156074	156079	156189
166	263	3	156019	156104	156189
156	167	3	156010	156020	156189
122	186	3	155977	156036	156189
99	236	3	155956	156079	156189
99	122	3	155956	155977	156189
92	145	3	155949	156000	156189
90	145	3	155947	156000	156189
90	104	3	155947	155961	156189
87	285	3	155945	156125	156189
87	255	3	155945	156098	156189
83	193	3	155942	156041	156189
44	166	3	155911	156019	156189
44	161	3	155911	156014	156189
3	263	4	155876	156104	156190
3	295	4	155876	156135	156190
15	78	4	155887	155937	156190
15	269	4	155887	156110	156190
17	110	4	155889	155966	156190
17	293	4	155889	156133	156190
66	67	4	155927	155928	156190
74	99	4	155933	155956	156190
110	209	4	155966	156056	156190
108	265	4	155964	156106	156190
108	141	4	155964	155996	156190
122	186	4	155977	156036	156190
164	244	4	156017	156087	156190
141	213	4	155996	156060	156190
129	268	4	155984	156109	156190
99	236	4	155956	156079	156190
85	129	4	155944	155984	156190
52	1	4	155917	155874	156190
52	265	4	155917	156106	156190
44	161	4	155911	156014	156190
44	166	4	155911	156019	156190
78	270	4	155937	156111	156190
66	85	4	155927	155944	156190
74	138	4	155933	155993	156190
74	287	4	155933	156127	156190
74	293	4	155933	156133	156190
74	122	4	155933	155977	156190
72	73	4	155931	155932	156190
73	1	4	155932	155874	156190
18	186	4	155890	156036	156190
25	255	4	155896	156098	156190
33	164	4	155904	156017	156190
36	289	4	155906	156129	156190
25	161	4	155896	156014	156190
18	193	4	155890	156041	156190
21	67	4	155893	155928	156190
21	269	4	155893	156110	156190
80	205	4	155939	156052	156190
209	242	4	156056	156085	156190
229	236	4	156074	156079	156190
229	273	4	156074	156114	156190
200	289	4	156048	156129	156190
166	263	4	156019	156104	156190
195	205	4	156043	156052	156190
200	270	4	156048	156111	156190
231	300	4	156076	156140	156190
267	268	4	156108	156109	156190
299	300	4	156139	156140	156190
33	36	4	155904	155906	156190
248	285	4	156091	156125	156190
242	265	4	156085	156106	156190
244	295	4	156087	156135	156190
248	273	4	156091	156114	156190
87	285	4	155945	156125	156190
96	195	4	155953	156043	156190
96	287	4	155953	156127	156190
87	255	4	155945	156098	156190
80	231	4	155939	156076	156190
83	193	4	155942	156041	156190
225	276	5	156070	156117	156191
216	276	5	156062	156117	156191
228	295	5	156073	156135	156191
225	295	5	156070	156135	156191
175	253	5	156175	156096	156191
41	216	5	156166	156062	156191
41	253	5	156166	156096	156191
174	253	5	156174	156096	156191
147	150	6	156002	156005	156192
244	295	6	156087	156135	156192
147	283	6	156002	156123	156192
101	227	6	155958	156072	156192
90	145	6	155947	156000	156192
92	145	6	155949	156000	156192
101	110	6	155958	155966	156192
33	164	6	155904	156017	156192
15	78	6	155887	155937	156192
83	193	6	155942	156041	156192
78	270	6	155937	156111	156192
36	289	6	155906	156129	156192
14	167	6	155886	156020	156192
3	295	6	155876	156135	156192
3	156	6	155876	156010	156192
33	36	6	155904	155906	156192
14	92	6	155886	155949	156192
11	104	6	155883	155961	156192
11	83	6	155883	155942	156192
90	104	6	155947	155961	156192
164	244	6	156017	156087	156192
156	167	6	156010	156020	156192
150	227	6	156005	156072	156192
193	218	6	156041	156064	156192
218	283	6	156064	156123	156192
200	289	6	156048	156129	156192
200	270	6	156048	156111	156192
142	290	7	155997	156130	156193
142	297	7	155997	156137	156193
144	207	7	155999	156054	156193
107	285	7	155963	156125	156193
71	297	7	155930	156137	156193
94	254	7	155951	156097	156193
94	290	7	155951	156130	156193
43	289	7	156167	156129	156193
43	183	7	156167	156168	156193
71	172	7	155930	156025	156193
45	243	7	155912	156086	156193
