SpocWebEntityId	Version	ChangeTime	ChangeUserId	IsDeleted	IsReadOnly	IsPrivate	Id	Bahnhof	GeoLat	GeoLon
156357	1	2015-01-10	20	0	0	0	2	Wiesbaden Hbf	50.07083	8.243889
156358	1	2015-01-10	20	0	0	0	3	Wiesbaden Ost	50.04111	8.256592
156359	1	2015-01-10	20	0	0	0	4	Mainz-Kastel	50.00972	8.2844
156360	1	2015-01-10	20	0	0	0	5	Hochheim@Main	50.01083	8.350764
156361	1	2015-01-10	20	0	0	0	6	Flörsheim@Main	50.01167	8.428056
156362	1	2015-01-10	20	0	0	0	7	Eddersheim	50.03953	8.471677
156363	1	2015-01-10	20	0	0	0	8	Hattersheim@Main	50.06972	8.48618
156364	1	2015-01-10	20	0	0	0	9	Frankfurt-Sindlingen	50.08746	8.512283
156365	1	2015-01-10	20	0	0	0	10	Frankfurt-Höchst Farbwerke	50.09836	8.528183
156366	1	2015-01-10	20	0	0	0	11	Frankfurt-Höchst	50.1025	8.5425
156367	1	2015-01-10	20	0	0	0	12	Frankfurt-Nied	50.10276	8.569982
156368	1	2015-01-10	20	0	0	0	13	Frankfurt-Griesheim	50.09417	8.60611
156369	1	2015-01-10	20	0	0	0	14	Frankfurt@Main Hbf tief	50.10695	8.6625
156370	1	2015-01-10	20	0	0	0	15	Frankfurt Taunusanlage	50.11389	8.669723
156371	1	2015-01-10	20	0	0	0	16	Frankfurt Hauptwache	50.11389	8.678889
156372	1	2015-01-10	20	0	0	0	17	Frankfurt Konstablerwache	50.11472	8.686389
156373	1	2015-01-10	20	0	0	0	18	Frankfurt Ostendstraße	50.11139	8.6975
156374	1	2015-01-10	20	0	0	0	19	Frankfurt Lokalbahnhof	50.10305	8.692223
156375	1	2015-01-10	20	0	0	0	20	Frankfurt Oberrad	50.10444	8.724167
156376	1	2015-01-10	20	0	0	0	21	Frankfurt@Main Mühlberg	50.10167	8.700277
156377	1	2015-01-10	20	0	0	0	22	Offenbach Kaiserlei	50.10533	8.738377
156378	1	2015-01-10	20	0	0	0	23	Offenbach Ledermuseum	50.10599	8.750485
156379	1	2015-01-10	20	0	0	0	24	Offenbach Marktplatz	50.10585	8.763633
156380	1	2015-01-10	20	0	0	0	25	Offenbach@Main Ost	50.09945	8.770833
156381	1	2015-01-10	20	0	0	0	26	Offenbach-Bieber	50.09053	8.808406
156382	1	2015-01-10	20	0	0	0	27	Offenbach-Waldhof	50.08169	8.828938
156383	1	2015-01-10	20	0	0	0	28	Obertshausen	50.07153	8.848194
156384	1	2015-01-10	20	0	0	0	29	Rodgau-Weiskirchen	50.05318	8.891466
156385	1	2015-01-10	20	0	0	0	30	Rodgau-Hainhausen	50.04322	8.880816
156386	1	2015-01-10	20	0	0	0	31	Rodgau-Jügesheim	50.02598	8.884023
156387	1	2015-01-10	20	0	0	0	32	Rodgau-Dudenhofen	49.99635	8.874723
156388	1	2015-01-10	20	0	0	0	33	Rodgau-Nieder Roden	49.99635	8.874723
156389	1	2015-01-10	20	0	0	0	34	Rodgau-Rollwald	49.98798	8.846545
156390	1	2015-01-10	20	0	0	0	35	Rödermark-Ober Roden	49.97702	8.828543
