Line	StopNr	StationNr	LineId	StationId	StartStationId	Line_Start	Line_Stop
U1	2	59	157247	156287	156251	U1-1	U1-2
U1	3	73	157247	156301	156287	U1-2	U1-3
U1	4	62	157247	156290	156301	U1-3	U1-4
U1	5	36	157247	156265	156290	U1-4	U1-5
U1	6	91	157247	156318	156265	U1-5	U1-6
U1	7	35	157247	156264	156318	U1-6	U1-7
U1	8	85	157247	156313	156264	U1-7	U1-8
U1	9	53	157247	156281	156313	U1-8	U1-9
U1	11	18	157247	156249	156271	U1-10	U1-11
U1	12	10	157247	156241	156249	U1-11	U1-12
U1	13	56	157247	156284	156241	U1-12	U1-13
U1	14	41	157247	156270	156284	U1-13	U1-14
U1	15	25	157247	156256	156270	U1-14	U1-15
U1	16	14	157247	156245	156256	U1-15	U1-16
U1	17	31	157247	156261	156245	U1-16	U1-17
U1	18	89	157247	156317	156261	U1-17	U1-18
U1	19	77	157247	156305	156317	U1-18	U1-19
U1	20	81	157247	156309	156305	U1-19	U1-20
U1	1	20	157247	156251		U1-0	U1-1
U2	1	23	156325	156254		U2-0	U2-1
U2	2	63	156325	156291	156254	U2-1	U2-2
U2	3	60	156325	156288	156291	U2-2	U2-3
U2	4	6	156325	156237	156288	U2-3	U2-4
U2	5	45	156325	156274	156237	U2-4	U2-5
U2	6	71	156325	156299	156274	U2-5	U2-6
U2	7	75	156325	156303	156299	U2-6	U2-7
U2	8	35	156325	156264	156303	U2-7	U2-8
U2	9	85	156325	156313	156264	U2-8	U2-9
U2	10	53	156325	156281	156313	U2-9	U2-10
U2	12	18	156325	156249	156271	U2-11	U2-12
U2	13	10	156325	156241	156249	U2-12	U2-13
U2	14	56	156325	156284	156241	U2-13	U2-14
U2	15	41	156325	156270	156284	U2-14	U2-15
U2	16	25	156325	156256	156270	U2-15	U2-16
U2	17	14	156325	156245	156256	U2-16	U2-17
U2	18	31	156325	156261	156245	U2-17	U2-18
U2	19	89	156325	156317	156261	U2-18	U2-19
U2	20	77	156325	156305	156317	U2-19	U2-20
U2	21	81	156325	156309	156305	U2-20	U2-21
U3	1	39	157320	156268		U3-0	U3-1
U3	2	84	157320	156312	156268	U3-1	U3-2
U3	3	74	157320	156302	156312	U3-2	U3-3
U3	4	50	157320	156278	156302	U3-3	U3-4
U3	5	22	157320	156253	156278	U3-4	U3-5
U3	6	51	157320	156279	156253	U3-5	U3-6
U3	7	64	157320	156292	156279	U3-6	U3-7
U3	8	66	157320	156294	156292	U3-7	U3-8
U3	9	65	157320	156293	156294	U3-8	U3-9
U3	10	5	157320	156236	156293	U3-9	U3-10
U3	11	86	157320	156314	156236	U3-10	U3-11
U3	12	61	157320	156289	156314	U3-11	U3-12
U3	13	88	157320	156316	156289	U3-12	U3-13
U3	14	35	157320	156264	156316	U3-13	U3-14
U3	15	85	157320	156313	156264	U3-14	U3-15
U3	16	53	157320	156281	156313	U3-15	U3-16
U3	18	18	157320	156249	156271	U3-17	U3-18
U3	19	10	157320	156241	156249	U3-18	U3-19
U3	20	56	157320	156284	156241	U3-19	U3-20
U3	21	41	157320	156270	156284	U3-20	U3-21
U3	22	25	157320	156256	156270	U3-21	U3-22
U3	23	14	157320	156245	156256	U3-22	U3-23
U3	24	31	157320	156261	156245	U3-23	U3-24
U3	25	89	157320	156317	156261	U3-24	U3-25
U3	26	77	157320	156305	156317	U3-25	U3-26
U3	27	81	157320	156309	156305	U3-26	U3-27
U4	1	13	157332	156244		U4-0	U4-1
U4	2	38	157332	156267	156244	U4-1	U4-2
U4	3	49	157332	156277	156267	U4-2	U4-3
U4	4	26	157332	156257	156277	U4-3	U4-4
U4	5	76	157332	156304	156257	U4-4	U4-5
U4	6	78	157332	156306	156304	U4-5	U4-6
U4	7	7	157332	156238	156306	U4-6	U4-7
U4	8	40	157332	156269	156238	U4-7	U4-8
U4	9	55	157332	156283	156269	U4-8	U4-9
U4	10	47	157332	156276	156283	U4-9	U4-10
U4	11	9	157332	156240	156276	U4-10	U4-11
U4	12	89	157332	156317	156240	U4-11	U4-12
U4	13	28	157332	156259	156317	U4-12	U4-13
U4	14	15	157332	156246	156259	U4-13	U4-14
U4	15	3	157332	156235	156246	U4-14	U4-15
U5	1	69	157243	156297		U5-0	U5-1
U5	2	79	157243	156307	156297	U5-1	U5-2
U5	3	72	157243	156300	156307	U5-2	U5-3
U5	4	82	157243	156310	156300	U5-3	U5-4
U5	5	19	157243	156250	156310	U5-4	U5-5
U5	6	54	157243	156282	156250	U5-5	U5-6
U5	7	11	157243	156242	156282	U5-6	U5-7
U5	8	58	157243	156286	156242	U5-7	U5-8
U5	9	30	157243	156260	156286	U5-8	U5-9
U5	10	8	157243	156239	156260	U5-9	U5-10
U5	11	21	157243	156252	156239	U5-10	U5-11
U5	12	57	157243	156285	156252	U5-11	U5-12
U5	13	47	157243	156276	156285	U5-12	U5-13
U5	14	9	157243	156240	156276	U5-13	U5-14
U5	15	89	157243	156317	156240	U5-14	U5-15
U5	16	28	157243	156259	156317	U5-15	U5-16
U6	1	67	156329	156295		U6-0	U6-1
U6	2	92	156329	156319	156295	U6-1	U6-2
U6	3	47	156329	156276	156319	U6-2	U6-3
U6	4	31	156329	156261	156276	U6-3	U6-4
U6	5	2	156329	156234	156261	U6-4	U6-5
U6	6	87	156329	156315	156234	U6-5	U6-6
U6	7	3	156329	156235	156315	U6-6	U6-7
U6	8	52	156329	156280	156235	U6-7	U6-8
U6	9	46	156329	156275	156280	U6-8	U6-9
U6	10	43	156329	156272	156275	U6-9	U6-10
U6	11	16	156329	156247	156272	U6-10	U6-11
U6	12	34	156329	156263	156247	U6-11	U6-12
U6	13	80	156329	156308	156263	U6-12	U6-13
U6	14	17	156329	156248	156308	U6-13	U6-14
U6	15	37	156329	156266	156248	U6-14	U6-15
U7	1	13	157291	156244		U7-0	U7-1
U7	2	38	157291	156267	156244	U7-1	U7-2
U7	3	49	157291	156277	156267	U7-2	U7-3
U7	4	26	157291	156257	156277	U7-3	U7-4
U7	5	76	157291	156304	156257	U7-4	U7-5
U7	6	44	157291	156273	156304	U7-5	U7-6
U7	7	12	157291	156243	156273	U7-6	U7-7
U7	8	68	157291	156296	156243	U7-7	U7-8
U7	9	27	157291	156258	156296	U7-8	U7-9
U7	10	92	157291	156319	156258	U7-9	U7-10
