has_label_snail	label-dash	rangeIncludes	domainIncludes	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
is_abridged	is-abridged	Boolean	Book	abridged	https://bib.schema.org							Indicates whether the book is an abridged edition.
is_contactless_payment	is-contactless-payment	Boolean	PaymentCard	contactlessPayment	pending:							A secure method for consumers to purchase products or services via debit, credit or smartcards by using RFID or NFC technology.
is_direct_apply	is-direct-apply	Boolean	JobPosting	directApply	pending:							Indicates whether an <a class="localLink" href="/url">url</a> that is associated with a <a class="localLink" href="/JobPosting">JobPosting</a> enables direct application for the job, via the posting website. A job posting is considered to have directApply of <a class="localLink" href="/True">True</a> if an application process for the specified job can be directly initiated via the url(s) given (noting that e.g. multiple internet domains might nevertheless be involved at an implementation level). A value of <a class="localLink" href="/False">False</a> is appropriate if there is no clear path to applying directly online for the specified job, navigating directly from the JobPosting url(s) supplied.
is_not_shipping	is-not-shipping	Boolean	OfferShippingDetails, ShippingRateSettings	doesNotShip	pending:							Indicates when shipping to a particular <a class="localLink" href="/shippingDestination">shippingDestination</a> is not available.
is_domiciled_mortgage	is-domiciled-mortgage	Boolean	MortgageLoan	domiciledMortgage	pending:							Whether borrower is a resident of the jurisdiction where the property is located.
is_experience_in_place_of_education	is-experience-in-place-of-education	Boolean	JobPosting	experienceInPlaceOfEducation	pending:							Indicates whether a <a class="localLink" href="/JobPosting">JobPosting</a> will accept experience (as indicated by <a class="localLink" href="/OccupationalExperienceRequirements">OccupationalExperienceRequirements</a>) in place of its formal educational qualifications (as indicated by <a class="localLink" href="/educationRequirements">educationRequirements</a>). If true, indicates that satisfying one of these requirements is sufficient.
is_free	is-free	Boolean	PublicationEvent	free							isAccessibleForFree	A flag to signal that the item, event, or place is accessible for free.
is_drive_through_service	is-drive-through-service	Boolean	Place	hasDriveThroughService	pending:							Indicates whether some facility (e.g. <a class="localLink" href="/FoodEstablishment">FoodEstablishment</a>, <a class="localLink" href="/CovidTestingFacility">CovidTestingFacility</a>) offers a service that can be used by driving through in a car. In the case of <a class="localLink" href="/CovidTestingFacility">CovidTestingFacility</a> such facilities could potentially help with social distancing from other potentially-infected users.
is_health_plan_cost_sharing	is-health-plan-cost-sharing	Boolean	HealthPlanFormulary, HealthPlanNetwork	healthPlanCostSharing	pending:							The costs to the patient for services under this network or formulary.
is_in_store_return_offered	in-store-returns-offered	Boolean	MerchantReturnPolicy	inStoreReturnsOffered	pending:							Are in-store returns offered? (For more advanced return methods use the <a class="localLink" href="/returnMethod">returnMethod</a> property.)
is_accepting_new_patients	is-accepting-new-patients	Boolean	MedicalOrganization	isAcceptingNewPatients	pending:							Whether the provider is accepting new patients.
is_accessible_for_free	is-accessible-for-free	Boolean	CreativeWork, Event, Place	isAccessibleForFree						free		A flag to signal that the item, event, or place is accessible for free.
is_available_generically	is-available-generically	Boolean	Drug	isAvailableGenerically								True if the drug is available in a generic form (regardless of name).
is_family_friendly	is-family-friendly	Boolean	CreativeWork, Offer, Product	isFamilyFriendly								Indicates whether this content is family friendly.
is_gift	is-gift	Boolean	Order	isGift								Indicates whether the offer was accepted as a gift for someone other than the buyer.
is_live_broadcast	is-live-broadcast	Boolean	BroadcastEvent	isLiveBroadcast								True if the broadcast is of a live event.
is_proprietary	is-proprietary	Boolean	DietarySupplement, Drug	isProprietary								True if this item's name is a proprietary/brand name (vs. generic name).
is_resizable	is-resizable	Boolean	3DModel	isResizable	pending:							Whether the 3DModel allows resizing. For example, room layout applications often do not allow 3DModel elements to be resized to reflect reality.
