domainIncludes	has_label_snail	rangeIncludes	label_snail	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
"NewsMediaOrganization, Organization"	has_ownership_funding_info	"AboutPage, CreativeWork, Text, URL"	ownership_funding_info	ownership-funding-info	ownershipFundingInfo	pending:	publishingPrinciples						"For an <a class=""localLink"" href=""/Organization"">Organization</a> (often but not necessarily a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a description of organizational ownership structure; funding and grants. In a news/media setting, this is with particular reference to editorial independence.   Note that the <a class=""localLink"" href=""/funder"">funder</a> is also available and can be used to make basic funder information machine-readable."
FloorPlan	is_plan_for_apartment	Accommodation	is_plan_for_apartment	is-plan-for-apartment	isPlanForApartment	pending:							Indicates some accommodation that this floor plan describes.
InteractionCounter	has_interaction_type	Action	interaction_type	interaction-type	interactionType								"The Action representing the type of interaction. For up votes, +1s, etc. use <a class=""localLink"" href=""/LikeAction"">LikeAction</a>. For down votes use <a class=""localLink"" href=""/DislikeAction"">DislikeAction</a>. Otherwise, use the most specific Action."
Thing	has_potential_action	Action	potential_action	potential-action	potentialAction								"Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role."
ConsumeAction	has_action_accessibility_requirement	ActionAccessSpecification	action_accessibility_requirement	action-accessibility-requirement	actionAccessibilityRequirement								"A set of requirements that must be fulfilled in order to perform an Action. If more than one value is specified, fulfilling one set of requirements will allow the Action to be performed."
Action	has_action_status	ActionStatusType	action_status	action-status	actionStatus								Indicates the current disposition of the Action.
"DrugCost, DrugLegalStatus"	has_applicable_location	AdministrativeArea	applicable_location	applicable-location	applicableLocation								The location in which the status applies.
JobPosting	has_applicant_location_requirements	AdministrativeArea	applicant_location_requirements	applicant-location-requirements	applicantLocationRequirements	pending:							The location(s) applicants can apply from. This is usually used for telecommuting jobs where the applicant does not need to be in a physical office. Note: This should not be used for citizenship or work visa requirements.
DrugStrength	has_available_in	AdministrativeArea	available_in	available-in	availableIn								The location in which the strength is available.
Audience	has_geographic_area	AdministrativeArea	geographic_area	geographic-area	geographicArea								The geographic area associated with the audience.
Occupation	has_occupation_location	AdministrativeArea	occupation_location	occupation-location	occupationLocation								The region/country for which this occupational description is appropriate. Note that educational requirements and qualifications can vary between jurisdictions.
MedicalStudy	has_study_location	AdministrativeArea	study_location	study-location	studyLocation								The location in which the study is taking/took place.
"EducationalOccupationalCredential, Permit"	has_valid_in	AdministrativeArea	valid_in	valid-in	validIn								The geographic area where a permit or similar thing is valid.
"ContactPoint, Organization, Service"	has_service_area	"AdministrativeArea, GeoShape, Place"	service_area	service-area	serviceArea						area	areaServed	The geographic area where the service is provided.
"ContactPoint, DeliveryChargeSpecification, Demand, Offer, Organization, Service"	has_area_served	"AdministrativeArea, GeoShape, Place, Text"	area_served	area-served	areaServed				"availableAtOrFrom, eligibleRegion"		serviceArea		The geographic area where a service or offered item is provided.
"GovernmentService, Legislation"	has_jurisdiction	"AdministrativeArea, Text"	jurisdiction	jurisdiction	jurisdiction	pending:			legislationJurisdiction				"Indicates a legal jurisdiction, e.g. of some legislation, or where some government service is based."
Legislation	has_legislation_jurisdiction	"AdministrativeArea, Text"	legislation_jurisdiction	legislation-jurisdiction	legislationJurisdiction	pending:	"jurisdiction, spatialCoverage"	http://data.europa.eu/eli/ontology#jurisdiction					The jurisdiction from which the legislation originates.
"Offer, Product"	has_adult_consideration	AdultOrientedEnumeration	has_adult_consideration	has-adult-consideration	hasAdultConsideration	pending:							Used to tag an item to be intended or suitable for consumption or use by adults only.
"Demand, Offer"	has_item_offered	"AggregateOffer, CreativeWork, Event, MenuItem, Product, Service, Trip"	item_offered	item-offered	itemOffered					offers			"An item being offered (or demanded). The transactional nature of the offer or demand is documented using <a class=""localLink"" href=""/businessFunction"">businessFunction</a>, e.g. sell, lease etc. While several common expected types are listed explicitly in this definition, others can be used. Using a second type, such as Product or a subtype of Product, can clarify the nature of the offer."
"Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service"	has_aggregate_rating	AggregateRating	aggregate_rating	aggregate-rating	aggregateRating								"The overall rating, based on a collection of reviews or ratings, of the item."
Flight	has_arrival_airport	Airport	arrival_airport	arrival-airport	arrivalAirport								The airport where the flight terminates.
Flight	has_departure_airport	Airport	departure_airport	departure-airport	departureAirport								The airport where the flight originates.
"CreativeWork, LearningResource"	has_educational_alignment	AlignmentObject	educational_alignment	educational-alignment	educationalAlignment								"An alignment to an established educational framework.<br/><br/>

This property should not be used where the nature of the alignment can be described using a simple property, for example to express that a resource <a class=""localLink"" href=""/teaches"">teaches</a> or <a class=""localLink"" href=""/assesses"">assesses</a> a competency."
EducationalOccupationalProgram	has_program_prerequisites	"AlignmentObject, Course, EducationalOccupationalCredential, Text"	program_prerequisites	program-prerequisites	programPrerequisites	pending:							Prerequisites for enrolling in the program.
Course	has_course_prerequisites	"AlignmentObject, Course, Text"	course_prerequisites	course-prerequisites	coursePrerequisites								"Requirements for taking the Course. May be completion of another <a class=""localLink"" href=""/Course"">Course</a> or a textual description like ""permission of instructor"". Requirements may be a pre-requisite competency, referenced using <a class=""localLink"" href=""/AlignmentObject"">AlignmentObject</a>."
Artery	has_arterial_branch	AnatomicalStructure	arterial_branch	arterial-branch	arterialBranch						branch		The branches that comprise the arterial structure.
Nerve	has_branch	AnatomicalStructure	branch	branch	branch							arterialBranch	"The branches that delineate from the nerve bundle. Not to be confused with <a class=""localLink"" href=""/branchOf"">branchOf</a>."
AnatomicalStructure	has_connected_to	AnatomicalStructure	connected_to	connected-to	connectedTo								Other anatomical structures to which this structure is connected.
Muscle	has_insertion	AnatomicalStructure	insertion	insertion	insertion								"The place of attachment of a muscle, or what the muscle moves."
AnatomicalSystem	has_related_structure	AnatomicalStructure	related_structure	related-structure	relatedStructure								"Related anatomical structure(s) that are not part of the system but relate or connect to it, such as vascular bundles associated with an organ system."
AnatomicalStructure	has_sub_structure	AnatomicalStructure	sub_structure	sub-structure	subStructure								Component (sub-)structure(s) that comprise this anatomical structure.
Artery	has_supply_to	AnatomicalStructure	supply_to	supply-to	supplyTo								The area to which the artery supplies blood.
Vein	has_tributary	AnatomicalStructure	tributary	tributary	tributary								The anatomical or organ system that the vein flows into; a larger structure that the vein connects to.
AnatomicalSystem	has_comprised_of	"AnatomicalStructure, AnatomicalSystem"	comprised_of	comprised-of	comprisedOf								"Specifying something physically contained by something else. Typically used here for the underlying anatomical structures, such as organs, that comprise the anatomical system."
"LymphaticVessel, Vein"	has_region_drained	"AnatomicalStructure, AnatomicalSystem"	region_drained	region-drained	regionDrained								The anatomical or organ system drained by this vessel; generally refers to a specific part of an organ.
SuperficialAnatomy	has_related_anatomy	"AnatomicalStructure, AnatomicalSystem"	related_anatomy	related-anatomy	relatedAnatomy								Anatomical systems or structures that relate to the superficial anatomy.
Gene	has_expressed_in	"AnatomicalStructure, AnatomicalSystem, BioChemEntity, DefinedTerm"	expressed_in	expressed-in	expressedIn	pending:							"Tissue, organ, biological sample, etc in which activity of this gene has been observed experimentally. For example brain, digestive system."
"MedicalCondition, PhysicalActivity"	has_associated_anatomy	"AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy"	associated_anatomy	associated-anatomy	associatedAnatomy								The anatomy of the underlying organ system or structures associated with this entity.
Nerve	has_sensory_unit	"AnatomicalStructure, SuperficialAnatomy"	sensory_unit	sensory-unit	sensoryUnit								The neurological pathway extension that inputs and sends information to the brain or spinal cord.
AnatomicalStructure	has_part_of_system	AnatomicalSystem	part_of_system	part-of-system	partOfSystem								The anatomical or organ system that this structure is part of.
Question	has_accepted_answer	"Answer, ItemList"	accepted_answer	accepted-answer	acceptedAnswer		suggestedAnswer						"The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author."
Question	has_suggested_answer	"Answer, ItemList"	suggested_answer	suggested-answer	suggestedAnswer				acceptedAnswer				"An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site."
ArchiveOrganization	has_archive_held	ArchiveComponent	archive_held	archive-held	archiveHeld	pending:				holdingArchive			"Collection, <a href=""https://en.wikipedia.org/wiki/Fonds"">fonds</a>, or item held, kept or maintained by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>."
ArchiveComponent	is_holding_archive	ArchiveOrganization	holding_archive	holding-archive	holdingArchive	pending:				archiveHeld			"<a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a> that holds, keeps or maintains the <a class=""localLink"" href=""/ArchiveComponent"">ArchiveComponent</a>."
"NewsMediaOrganization, Organization"	has_diversity_staffing_report	"Article, URL"	diversity_staffing_report	diversity-staffing-report	diversityStaffingReport	pending:	publishingPrinciples						"For an <a class=""localLink"" href=""/Organization"">Organization</a> (often but not necessarily a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a report on staffing diversity issues. In a news context this might be for example ASNE or RTDNA (US) reports, or self-reported."
"CreativeWork, Event, LodgingBusiness, PlayAction, Product, Service"	has_audience	Audience	audience	audience	audience						serviceAudience		"An intended audience, i.e. a group for whom something was created."
Permit	has_permit_audience	Audience	permit_audience	permit-audience	permitAudience								The target audience for this permit.
Service	has_service_audience	Audience	service_audience	service-audience	serviceAudience							audience	The audience eligible for this service.
DigitalDocumentPermission	has_grantee	"Audience, ContactPoint, Organization, Person"	grantee	grantee	grantee								"The person, organization, contact point, or audience that has been granted this permission."
"AuthorizeAction, CommunicateAction, DonateAction, GiveAction, Message, PayAction, ReturnAction, SendAction, TipAction"	has_recipient	"Audience, ContactPoint, Organization, Person"	recipient	recipient	recipient		participant		"bccRecipient, ccRecipient, toRecipient"				A sub property of participant. The participant who is at the receiving end of the action.
Message	has_to_recipient	"Audience, ContactPoint, Organization, Person"	to_recipient	to-recipient	toRecipient		recipient						A sub property of recipient. The recipient who was directly sent the message.
"Message, ReceiveAction"	has_sender	"Audience, Organization, Person"	sender	sender	sender		participant						A sub property of participant. The participant who is at the sending end of the action.
"TouristAttraction, TouristDestination, TouristTrip"	has_tourist_type	"Audience, Text"	tourist_type	tourist-type	touristType								"Attraction suitable for type(s) of tourist. E.g. children, visitors from a particular country, etc."
CreativeWork	has_audio	"AudioObject, Clip, MusicRecording"	audio	audio	audio								An embedded audio object.
MoneyTransfer	has_beneficiary_bank	"BankOrCreditUnion, Text"	beneficiary_bank	beneficiary-bank	beneficiaryBank	pending:							"A bank or bank�s branch, financial institution or international financial institution operating the beneficiary�s bank account or releasing funds for the beneficiary."
"HotelRoom, Suite"	has_bed	"BedDetails, BedType, Text"	bed	bed	bed								"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
BedDetails	has_type_of_bed	"BedType, Text"	type_of_bed	type-of-bed	typeOfBed								"The type of bed to which the BedDetail refers, i.e. the type of bed available in the quantity indicated by quantity."
BioChemEntity	has_bio_chem_interaction	BioChemEntity	bio_chem_interaction	bio-chem-interaction	bioChemInteraction	pending:							A BioChemEntity that is known to interact with this item.
BioChemEntity	has_bio_chem_similarity	BioChemEntity	bio_chem_similarity	bio-chem-similarity	bioChemSimilarity	pending:							"A similar BioChemEntity, e.g., obtained by fingerprint similarity algorithms."
Gene	is_encoding_bio_chem_entity	BioChemEntity	is_encoding_bio_chem_entity	encodes-bio-chem-entity	encodesBioChemEntity	pending:				isEncodedByBioChemEntity			Another BioChemEntity encoded by this one.
BioChemEntity	has_bio_chem_entity_part	BioChemEntity	has_bio_chem_entity_part	has-bio-chem-entity-part	hasBioChemEntityPart	pending:				isPartOfBioChemEntity			Indicates a BioChemEntity that (in some sense) has this BioChemEntity as a part.
BioChemEntity	is_part_of_bio_chem_entity	BioChemEntity	is_part_of_bio_chem_entity	is-part-of-bio-chem-entity	isPartOfBioChemEntity	pending:				hasBioChemEntityPart			Indicates a BioChemEntity that is (in some sense) a part of this BioChemEntity.
Grant	has_funded_item	"BioChemEntity, CreativeWork, Event, MedicalEntity, Organization, Person, Product"	funded_item	funded-item	fundedItem	pending:				funding			"Indicates something directly or indirectly funded or sponsored through a <a class=""localLink"" href=""/Grant"">Grant</a>. See also <a class=""localLink"" href=""/ownershipFundingInfo"">ownershipFundingInfo</a>."
Blog	has_blog_post	BlogPosting	blog_post	blog-post	blogPost						blogPosts		A posting that is part of this blog.
Blog	has_blog_posts	BlogPosting	blog_posts	blog-posts	blogPosts							blogPost	"Indicates a post that is part of a <a class=""localLink"" href=""/Blog"">Blog</a>. Note that historically, what we term a ""Blog"" was once known as a ""weblog"", and that what we term a ""BlogPosting"" is now often colloquially referred to as a ""blog""."
