label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
about	about	about				mainEntity	CommunicateAction, CreativeWork, Event	Thing	subjectOf			The subject matter of the content.
abridged	abridged	abridged	https://bib.schema.org				Book	Boolean				Indicates whether the book is an abridged edition.
abstract	abstract	abstract	pending:				CreativeWork	Text				"An abstract is a short description that summarizes a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
acceleration-time	acceleration_time	accelerationTime	https://auto.schema.org				Vehicle	QuantitativeValue				"The time needed to accelerate the vehicle from a given start velocity to a given target velocity.<br/><br/>

Typical unit code(s): SEC for seconds<br/><br/>

<ul>
<li>Note: There are unfortunately no standard unit codes for seconds/0..100 km/h or seconds/0..60 mph. Simply use ""SEC"" for seconds and indicate the velocities in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a>, or use <a class=""localLink"" href=""/valueReference"">valueReference</a> with a <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> of 0..60 mph or 0..100 km/h to specify the reference speeds.</li>
</ul>"
accepted-answer	accepted_answer	acceptedAnswer		suggestedAnswer			Question	Answer, ItemList				The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.
accepted-offer	accepted_offer	acceptedOffer					Order	Offer				The offer(s) -- e.g., product, quantity and price combinations -- included in the order.
accepted-payment-method	accepted_payment_method	acceptedPaymentMethod					Demand, Offer	LoanOrCredit, PaymentMethod				The payment method(s) accepted by seller for this offer.
accepts-reservations	accepts_reservations	acceptsReservations					FoodEstablishment	Boolean, Text, URL				Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings <code>Yes</code> or <code>No</code>.
access-code	access_code	accessCode					DeliveryEvent	Text				Password, PIN, or access code needed for delivery (e.g. from a locker).
access-mode	access_mode	accessMode					CreativeWork	Text				"The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessMode-vocabulary"">approved vocabulary</a>."
access-mode-sufficient	access_mode_sufficient	accessModeSufficient					CreativeWork	ItemList				"A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessModeSufficient-vocabulary"">approved vocabulary</a>."
accessibility-api	accessibility_api	accessibilityAPI					CreativeWork	Text				"Indicates that the resource is compatible with the referenced accessibility API. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityAPI-vocabulary"">approved vocabulary</a>."
accessibility-control	accessibility_control	accessibilityControl					CreativeWork	Text				"Identifies input methods that are sufficient to fully control the described resource. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityControl-vocabulary"">approved vocabulary</a>."
accessibility-feature	accessibility_feature	accessibilityFeature					CreativeWork	Text				"Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityFeature-vocabulary"">approved vocabulary</a>."
accessibility-hazard	accessibility_hazard	accessibilityHazard					CreativeWork	Text				"A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityHazard-vocabulary"">approved vocabulary</a>."
accessibility-summary	accessibility_summary	accessibilitySummary					CreativeWork	Text				"A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as ""short descriptions are present but long descriptions will be needed for non-visual users"" or ""short descriptions are present and no long descriptions are needed."""
accommodation-category	accommodation_category	accommodationCategory	pending:	category			Accommodation	Text				"Category of an <a class=""localLink"" href=""/Accommodation"">Accommodation</a>, following real estate conventions, e.g. RESO (see <a href=""https://ddwiki.reso.org/display/DDW17/PropertySubType+Field"">PropertySubType</a>, and <a href=""https://ddwiki.reso.org/display/DDW17/PropertyType+Field"">PropertyType</a> fields  for suggested values)."
accommodation-floor-plan	accommodation_floor_plan	accommodationFloorPlan	pending:				Accommodation, Residence	FloorPlan				"A floorplan of some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>."
account-id	account_id	accountId		identifier			Invoice	Text				The identifier for the account the payment will be applied to.
account-minimum-inflow	account_minimum_inflow	accountMinimumInflow	pending:				BankAccount	MonetaryAmount				A minimum amount that has to be paid in every month.
account-overdraft-limit	account_overdraft_limit	accountOverdraftLimit	pending:				BankAccount	MonetaryAmount				An overdraft is an extension of credit from a lending institution when an account reaches zero. An overdraft allows the individual to continue withdrawing money even if the account has no funds in it. Basically the bank allows people to borrow a set amount of money.
accountable-person	accountable_person	accountablePerson					CreativeWork	Person				Specifies the Person that is legally accountable for the CreativeWork.
acquire-license-page	acquire_license_page	acquireLicensePage	pending:	usageInfo			CreativeWork	CreativeWork, URL				Indicates a page documenting how licenses can be purchased or otherwise acquired, for the current item.
acquired-from	acquired_from	acquiredFrom					OwnershipInfo	Organization, Person				The organization or person from which the product was acquired.
acriss-code	acriss_code	acrissCode	https://auto.schema.org				BusOrCoach, Car	Text				The ACRISS Car Classification Code is a code used by many car rental companies, for classifying vehicles. ACRISS stands for Association of Car Rental Industry Systems and Standards.
action-accessibility-requirement	action_accessibility_requirement	actionAccessibilityRequirement					ConsumeAction	ActionAccessSpecification				A set of requirements that must be fulfilled in order to perform an Action. If more than one value is specified, fulfilling one set of requirements will allow the Action to be performed.
action-application	action_application	actionApplication					EntryPoint	SoftwareApplication		application		An application that can complete the request.
action-option	action_option	actionOption		object			ChooseAction	Text, Thing		option		A sub property of object. The options subject to this action.
action-platform	action_platform	actionPlatform					EntryPoint	DigitalPlatformEnumeration, Text, URL				The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication.
action-status	action_status	actionStatus					Action	ActionStatusType				Indicates the current disposition of the Action.
actionable-feedback-policy	actionable_feedback_policy	actionableFeedbackPolicy	pending:	publishingPrinciples			NewsMediaOrganization, Organization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> or other news-related <a class=""localLink"" href=""/Organization"">Organization</a>, a statement about public engagement activities (for news media, the newsroom�s), including involving the public - digitally or otherwise -- in coverage decisions, reporting and activities after publication."
active-ingredient	active_ingredient	activeIngredient					DietarySupplement, Drug, DrugStrength, Substance	Text				An active ingredient, typically chemical compounds and/or biologic substances.
activity-duration	activity_duration	activityDuration					ExercisePlan	Duration, QuantitativeValue				Length of time to engage in the activity.
activity-frequency	activity_frequency	activityFrequency					ExercisePlan	QuantitativeValue, Text				How often one should engage in the activity.
actor	actor	actor				readBy	Clip, CreativeWorkSeason, Episode, Event, Movie, MovieSeries, PodcastSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	Person		actors		An actor, e.g. in TV, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.
actors	actors	actors					Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	Person			actor	An actor, e.g. in TV, radio, movie, video games etc. Actors can be associated with individual items or with a series, episode, clip.
add-on	add_on	addOn					Offer	Offer				An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).
additional-name	additional_name	additionalName		alternateName			Person	Text				An additional name for a Person, can be used for a middle name.
additional-number-of-guests	additional_number_of_guests	additionalNumberOfGuests					RsvpAction	Number				If responding yes, the number of guests who will attend in addition to the invitee.
additional-property	additional_property	additionalProperty					MerchantReturnPolicy, Place, Product, QualitativeValue, QuantitativeValue	PropertyValue				"A property-value pair representing an additional characteristic of the entity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>

Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. width, color, gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism."
additional-type	additional_type	additionalType		http://www.w3.org/1999/02/22-rdf-syntax-ns#type			Thing	URL				An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.
additional-variable	additional_variable	additionalVariable					ExercisePlan	Text				Any additional component of the exercise prescription that may need to be articulated to the patient. This may include the order of exercises, the number of repetitions of movement, quantitative distance, progressions over time, etc.
address	address	address					GeoCoordinates, GeoShape, Organization, Person, Place	PostalAddress, Text				Physical address of the item.
address-country	address_country	addressCountry					DefinedRegion, GeoCoordinates, GeoShape, PostalAddress	Country, Text				"The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>."
address-locality	address_locality	addressLocality					PostalAddress	Text				The locality in which the street address is, and which is in the region. For example, Mountain View.
address-region	address_region	addressRegion					DefinedRegion, PostalAddress	Text				"The region in which the locality is, and which is in the country. For example, California or another appropriate first-level <a href=""https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country"">Administrative division</a>."
administration-route	administration_route	administrationRoute					Drug	Text				A route by which this drug may be administered, e.g. 'oral'.
advance-booking-requirement	advance_booking_requirement	advanceBookingRequirement					Demand, Offer	QuantitativeValue				The amount of time that is required between accepting the offer and the actual usage of the resource or service.
adverse-outcome	adverse_outcome	adverseOutcome					MedicalDevice, TherapeuticProcedure	MedicalEntity				"A possible complication and/or side effect of this therapy. If it is known that an adverse outcome is serious (resulting in death, disability, or permanent damage; requiring hospitalization; or otherwise life-threatening or requiring immediate medical attention), tag it as a seriousAdverseOutcome instead."
affected-by	affected_by	affectedBy					MedicalTest	Drug				Drugs that affect the test's results.
affiliation	affiliation	affiliation		memberOf			Person	Organization				An organization that this person is affiliated with. For example, a school/university, a club, or a team.
after-media	after_media	afterMedia					HowToDirection	MediaObject, URL				A media object representing the circumstances after performing this direction.
agent	agent	agent					Action	Organization, Person				The direct performer or driver of the action (animate or inanimate). E.g. <em>John</em> wrote a book.
aggregate-rating	aggregate_rating	aggregateRating					Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service	AggregateRating				The overall rating, based on a collection of reviews or ratings, of the item.
aircraft	aircraft	aircraft					Flight	Text, Vehicle				"The kind of aircraft (e.g., ""Boeing 747"")."
album	album	album					MusicGroup	MusicAlbum		albums		A music album.
album-production-type	album_production_type	albumProductionType					MusicAlbum	MusicAlbumProductionType				Classification of the album by its type of content: soundtrack, live album, studio album, etc.
album-release	album_release	albumRelease					MusicAlbum	MusicRelease	releaseOf			A release of this album.
album-release-type	album_release_type	albumReleaseType					MusicAlbum	MusicAlbumReleaseType				The kind of release which this album is: single, EP or album.
albums	albums	albums					MusicGroup	MusicAlbum			album	A collection of music albums.
alcohol-warning	alcohol_warning	alcoholWarning					Drug	Text				Any precaution, guidance, contraindication, etc. related to consumption of alcohol while taking this drug.
algorithm	algorithm	algorithm					MedicalRiskScore	Text				The algorithm or rules to follow to compute the score.
alignment-type	alignment_type	alignmentType					AlignmentObject	Text				A category of alignment between the learning resource and the framework node. Recommended values include: 'requires', 'textComplexity', 'readingLevel', and 'educationalSubject'.
alternate-name	alternate_name	alternateName				additionalName	Thing	Text				An alias for the item.
alternative-headline	alternative_headline	alternativeHeadline					CreativeWork	Text				A secondary title of the CreativeWork.
alternative-of	alternative_of	alternativeOf	pending:				Gene	Gene				Another gene which is a variation of this one.
alumni	alumni	alumni					EducationalOrganization, Organization	Person	alumniOf			Alumni of an organization.
alumni-of	alumni_of	alumniOf					Person	EducationalOrganization, Organization	alumni			An organization that the person is an alumni of.
amenity-feature	amenity_feature	amenityFeature					Accommodation, FloorPlan, LodgingBusiness, Place	LocationFeatureSpecification				An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.
amount	amount	amount					DatedMoneySpecification, InvestmentOrDeposit, LoanOrCredit, MonetaryGrant, MoneyTransfer	MonetaryAmount, Number				The amount of money.
amount-of-this-good	amount_of_this_good	amountOfThisGood					TypeAndQuantityNode	Number				The quantity of the goods included in the offer.
