id-dash	id_snail	id	label	subTypeOf	enumerationtype	equivalentClass	isPartOf	properties	subTypes	supersedes	supersededBy	comment
3d-model	3d_model	3DModel	3DModel	MediaObject			https://pending.schema.org	about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, assesses, associatedArticle, associatedMedia, audience, audio, author, award, awards, bitrate, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contentSize, contentUrl, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, disambiguatingDescription, discussionUrl, duration, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, embedUrl, encodesCreativeWork, encoding, encodingFormat, encodings, endTime, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, height, identifier, image, inLanguage, ineligibleRegion, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, isResizable, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pattern, playerType, position, potentialAction, producer, productionCompany, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, regionsAllowed, releasedEvent, requiresSubscription, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, sha256, size, sourceOrganization, spatial, spatialCoverage, sponsor, startTime, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, uploadDate, url, usageInfo, version, video, width, workExample, workTranslation				"A 3D model represents some kind of 3D content, which may have <a class=""localLink"" href=""/encoding"">encoding</a>s in one or more <a class=""localLink"" href=""/MediaObject"">MediaObject</a>s. Many 3D formats are available (e.g. see <a href=""https://en.wikipedia.org/wiki/Category:3D_graphics_file_formats"">Wikipedia</a>); specific encoding formats can be represented using the <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a> property applied to the relevant <a class=""localLink"" href=""/MediaObject"">MediaObject</a>. For the
case of a single file published after Zip compression, the convention of appending '+zip' to the <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a> can be used. Geospatial, AR/VR, artistic/animation, gaming, engineering and scientific content can all be represented using <a class=""localLink"" href=""/3DModel"">3DModel</a>."
am-radio-channel	am_radio_channel	AMRadioChannel	AMRadioChannel	RadioChannel				additionalType, alternateName, broadcastChannelId, broadcastFrequency, broadcastServiceTier, description, disambiguatingDescription, genre, identifier, image, inBroadcastLineup, mainEntityOfPage, name, potentialAction, providesBroadcastService, sameAs, subjectOf, url				A radio channel that uses AM.
api-reference	api_reference	APIReference	APIReference	TechArticle				about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, articleBody, articleSection, assembly, assemblyVersion, assesses, associatedMedia, audience, audio, author, award, awards, backstory, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, dependencies, description, disambiguatingDescription, discussionUrl, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, exampleOfWork, executableLibraryName, expires, fileFormat, funder, funding, genre, hasPart, headline, identifier, image, inLanguage, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pageEnd, pageStart, pagination, pattern, position, potentialAction, producer, proficiencyLevel, programmingModel, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, releasedEvent, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, size, sourceOrganization, spatial, spatialCoverage, speakable, sponsor, subjectOf, targetPlatform, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, wordCount, workExample, workTranslation				Reference documentation for application programming interfaces (APIs).
abdomen	abdomen	Abdomen	Abdomen	PhysicalExam	PhysicalExam							Abdomen clinical examination.
about-page	about_page	AboutPage	AboutPage	WebPage				about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, assesses, associatedMedia, audience, audio, author, award, awards, breadcrumb, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, disambiguatingDescription, discussionUrl, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, identifier, image, inLanguage, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, lastReviewed, learningResourceType, license, locationCreated, mainContentOfPage, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pattern, position, potentialAction, primaryImageOfPage, producer, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, relatedLink, releasedEvent, review, reviewedBy, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, significantLink, significantLinks, size, sourceOrganization, spatial, spatialCoverage, speakable, specialty, sponsor, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, workExample, workTranslation				Web page type: About page.
accept-action	accept_action	AcceptAction	AcceptAction	AllocateAction				actionStatus, additionalType, agent, alternateName, description, disambiguatingDescription, endTime, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, url				"The act of committing to/adopting an object.<br/><br/>

Related actions:<br/><br/>

<ul>
<li><a class=""localLink"" href=""/RejectAction"">RejectAction</a>: The antonym of AcceptAction.</li>
</ul>"
accommodation	accommodation	Accommodation	Accommodation	Place				accommodationCategory, accommodationFloorPlan, additionalProperty, additionalType, address, aggregateRating, alternateName, amenityFeature, branchCode, containedIn, containedInPlace, containsPlace, description, disambiguatingDescription, event, events, faxNumber, floorLevel, floorSize, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasDriveThroughService, hasMap, identifier, image, isAccessibleForFree, isicV4, keywords, latitude, leaseLength, logo, longitude, mainEntityOfPage, map, maps, maximumAttendeeCapacity, name, numberOfBathroomsTotal, numberOfBedrooms, numberOfFullBathrooms, numberOfPartialBathrooms, numberOfRooms, openingHoursSpecification, permittedUsage, petsAllowed, photo, photos, potentialAction, publicAccess, review, reviews, sameAs, slogan, smokingAllowed, specialOpeningHoursSpecification, subjectOf, telephone, tourBookingPage, url, yearBuilt	Apartment, CampingPitch, House, Room, Suite			"An accommodation is a place that can accommodate human beings, e.g. a hotel room, a camping pitch, or a meeting room. Many accommodations are for overnight stays, but this is not a mandatory requirement.
For more specific types of accommodations not defined in schema.org, one can use additionalType with external vocabularies.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>."
accounting-service	accounting_service	AccountingService	AccountingService	FinancialService				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, feesAndCommissionsSpecification, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				"Accountancy business.<br/><br/>

As a <a class=""localLink"" href=""/LocalBusiness"">LocalBusiness</a> it can be described as a <a class=""localLink"" href=""/provider"">provider</a> of one or more <a class=""localLink"" href=""/Service"">Service</a>(s)."
achieve-action	achieve_action	AchieveAction	AchieveAction	Action				actionStatus, additionalType, agent, alternateName, description, disambiguatingDescription, endTime, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, url	LoseAction, TieAction, WinAction			The act of accomplishing something via previous efforts. It is an instantaneous action rather than an ongoing process.
action	action	Action	Action	Thing				actionStatus, additionalType, agent, alternateName, description, disambiguatingDescription, endTime, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, url	AchieveAction, AssessAction, ConsumeAction, ControlAction, CreateAction, FindAction, InteractAction, MoveAction, OrganizeAction, PlayAction, SearchAction, SeekToAction, SolveMathAction, TradeAction, TransferAction, UpdateAction			"An action performed by a direct agent and indirect participants upon a direct object. Optionally happens at a location with the help of an inanimate instrument. The execution of the action may produce a result. Specific action sub-type documentation specifies the exact expectation of each argument/role.<br/><br/>

See also <a href=""http://blog.schema.org/2014/04/announcing-schemaorg-actions.html"">blog post</a> and <a href=""docs/actions.html"">Actions overview document</a>."
