SpocWebEntityId	Popularity	name
22197	3	Segmentation
22198	5	Extraction
22199	12	Local quality
22200	24	Asymmetry
22201	33	Combining (Integration)
22202	20	Universality
14821	34	Nesting
22203	32	Counterweight
22204	39	Prior counteracion
22205	2	Prior action
22206	29	Cushion in advance
22207	37	Equipotentiality
22208	10	Inversion
22209	21	Spheroidality
22210	6	Dynamicity
22211	16	Partial, overdone, or excessive action
22212	19	Moving to a new dimension
22213	8	Mechanical vibration
22214	7	Periodic action
22215	40	Continuity of useful action
22216	35	Rushing through
22217	22	Convert harm into benefit
2434	36	Feedback
22218	18	Mediator
22219	28	Self-service
22220	11	Copying
22221	13	An inexpensive short-life object instead of an expensive durable one
22222	4	Replacement of a mechanical system
22223	14	Use a pneumatic or hydralic construction
22224	25	Flexible film or thin membranes
22225	30	Use of porous material
22226	9	Changing the color
22227	38	Homogeneity
22228	15	Rejecting and regenerating parts
22229	1	Transformation of physical and chemical states of an object
22230	27	Phase transition
22231	26	Thermal expansion
22232	31	Use strong oxidisers
22233	23	Inert environment
22234	17	Composite materials
