SpocWebEntityId	name	Description	Version	ChangeTime	IsDeleted	IsPrivate	ChangeUserId	PrincipleId
22240	Partition	Divide an object into independent parts.	4	2011-05-22	0	0	20	22197
22241	Disassemble	Make an object easy to disassemble.	4	2011-05-22	0	0	20	22197
22242	Fragment	Increase the degree of fragmentation or segmentation.	4	2011-05-22	0	0	20	22197
22243	Separate	Separate an interfering part or property from an object, or single out the only.	4	2011-05-22	0	0	20	22198
22244	non-uniform	Change an object's structure from uniform to non-uniform, change an external environment (or external influence) from uniform to non-uniform.	5	2011-05-22	0	0	20	22199
22245	condition	Make each part of an object function in conditions most suitable for its operation.	4	2011-05-22	0	0	20	22199
22246	different	Make each part of an object fulfill a different and useful function.	4	2011-05-22	0	0	20	22199
22247	asymmetrical	A. Change the shape of an object from symmetrical to asymmetrical.	4	2011-05-22	0	0	20	22200
22248	increase-Asymmetry	If an object is asymmetrical, increase its degree of asymmetry.	4	2011-05-22	0	0	20	22200
22249	merge-identical	Bring closer together (or merge) identical or similar objects, assemble identical or similar parts to perform parallel operations.	5	2011-05-22	0	0	20	22201
22250	merge-in-time	Make operations contiguous or parallel; bring them together in time.	4	2011-05-22	0	0	20	22201
22251	multi-urpose	Make a part or object perform multiple functions; eliminate the need for other parts.	4	2011-05-22	0	0	20	22202
22252	merge-in-space	Place one object inside another; place each object, in turn, inside the other.	4	2011-05-22	0	0	20	14821
22253	allow-pass	Make one part pass through a cavity in the other.	4	2011-05-22	0	0	20	14821
22254	weigt-lift	To compensate for the weight of an object, merge it with other objects that provide lift.	4	2011-05-22	0	0	20	22203
22255	weight-environment	To compensate for the weight of an object, make it interact with the environment (e.g. use aerodynamic, hydrodynamic, buoyancy and other forces).	5	2011-05-22	0	0	20	22203
22256	control-harm	If it will be necessary to do an action with both harmful and useful effects, this action should be replaced with anti-actions to control harmful effects.	5	2011-05-22	0	0	20	22204
22257	anti-stresses	Create beforehand stresses in an object that will oppose known undesirable working stresses later on.	5	2011-05-22	0	0	20	22204
22258	anticipate-change	Perform, before it is needed, the required change of an object (either fully or partially).	4	2011-05-22	0	0	20	22205
22259	arrange-parts	Pre-arrange objects such that they can come into action from the most convenient place and without losing time for their delivery.	4	2011-05-22	0	0	20	22205
22260	prepare-emergency	Prepare emergency means beforehand to compensate for the relatively low reliability of an object.	4	2011-05-22	0	0	20	22206
22261	limit-changes	In a potential field, limit position changes (e.g. change operating conditions to eliminate the need to raise or lower objects in a gravity field).	4	2011-05-22	0	0	20	22207
22262	invert-action	Invert the action(s) used to solve the problem (e.g. instead of cooling an object, heat it).	4	2011-05-22	0	0	20	22208
22263	movability	Make movable parts (or the external environment) fixed, and fixed parts movable).	4	2011-05-22	0	0	20	22208
